rental_id,date,hour,minute,user_id,station_id,duration_minutes
R000192,2017-01-01,3,35,U0802,S028,53
R000193,2017-01-01,3,12,U0712,S041,15
R000194,2017-01-01,3,31,U0738,S003,55
R000195,2017-01-01,3,25,U0940,S099,55
R000196,2017-01-01,3,41,U0126,S089,39
R000197,2017-01-01,3,36,U0277,S036,18
R000198,2017-01-01,3,12,U0849,S071,34
R000199,2017-01-01,3,35,U0202,S066,48
R000200,2017-01-01,3,39,U0607,S072,17
R000201,2017-01-01,3,47,U0706,S074,35
R000202,2017-01-01,4,11,U0579,S028,40
R000203,2017-01-01,4,20,U0292,S027,25
R000204,2017-01-01,4,53,U0412,S070,16
R000205,2017-01-01,4,56,U0067,S067,37
R000206,2017-01-01,4,9,U0446,S097,58
R000207,2017-01-01,4,46,U0832,S034,37
R000208,2017-01-01,4,1,U0746,S071,37
R000209,2017-01-01,4,48,U0345,S062,55
R000210,2017-01-01,4,20,U0739,S080,34
R000211,2017-01-01,4,56,U0651,S094,30
R000212,2017-01-01,4,26,U0106,S019,47
R000213,2017-01-01,4,26,U0198,S089,32
R000214,2017-01-01,4,19,U0720,S090,18
R000215,2017-01-01,4,28,U0469,S086,55
R000216,2017-01-01,4,47,U0393,S003,31
R000217,2017-01-01,4,59,U0561,S049,39
R000218,2017-01-01,4,52,U0325,S075,16
R000219,2017-01-01,4,57,U0344,S085,50
R000220,2017-01-01,4,40,U0362,S068,32
R000221,2017-01-01,4,59,U0647,S006,29
R000222,2017-01-01,4,47,U0701,S033,24
R000223,2017-01-01,4,17,U0022,S022,36
R000224,2017-01-01,4,9,U0828,S008,40
R000225,2017-01-01,4,49,U0327,S037,57
R000226,2017-01-01,4,12,U0279,S026,23
R000227,2017-01-01,4,6,U0388,S090,20
R000228,2017-01-01,4,8,U0663,S080,39
R000229,2017-01-01,4,11,U0878,S035,48
R000230,2017-01-01,4,1,U0862,S007,58
R000231,2017-01-01,4,48,U0498,S060,54
R000232,2017-01-01,4,39,U0674,S084,55
R000233,2017-01-01,4,39,U0162,S002,58
R000234,2017-01-01,4,17,U0488,S009,29
R000235,2017-01-01,4,38,U0048,S050,41
R000236,2017-01-01,4,36,U0976,S085,30
R000237,2017-01-01,4,39,U0400,S035,51
R000238,2017-01-01,4,14,U0217,S085,24
R000239,2017-01-01,4,38,U0628,S085,42
R000240,2017-01-01,4,14,U0171,S047,34
R000241,2017-01-01,4,14,U0860,S014,53
R000242,2017-01-01,4,43,U0841,S003,36
R000243,2017-01-01,4,1,U0910,S038,43
R000244,2017-01-01,4,22,U0140,S084,49
R000245,2017-01-01,4,5,U0198,S050,23
R000246,2017-01-01,4,44,U0092,S030,28
R000247,2017-01-01,4,49,U0261,S049,56
R000248,2017-01-01,4,30,U0995,S066,23
R000249,2017-01-01,4,8,U0695,S091,52
R000250,2017-01-01,4,32,U0977,S013,49
R000251,2017-01-01,4,54,U0163,S041,58
R000252,2017-01-01,4,38,U0984,S063,27
R000253,2017-01-01,4,30,U0890,S077,23
R000254,2017-01-01,4,45,U0874,S069,34
R000255,2017-01-01,4,41,U0476,S012,59
R000256,2017-01-01,4,23,U0034,S024,60
R000257,2017-01-01,4,11,U0552,S026,48
R000258,2017-01-01,4,54,U0745,S065,23
R000259,2017-01-01,4,24,U0862,S059,42
R000260,2017-01-01,4,31,U0132,S072,24
R000261,2017-01-01,4,30,U0508,S092,56
R000262,2017-01-01,4,8,U0515,S003,51
R000263,2017-01-01,4,10,U0526,S006,25
R000264,2017-01-01,4,12,U0051,S032,35
R000265,2017-01-01,4,14,U0350,S068,19
R000266,2017-01-01,4,2,U0225,S040,50
R000267,2017-01-01,4,26,U0793,S043,49
R000268,2017-01-01,4,48,U0604,S063,22
R000269,2017-01-01,5,11,U0020,S060,25
R000270,2017-01-01,5,9,U0976,S022,39
R000271,2017-01-01,5,3,U0318,S055,50
R000272,2017-01-01,5,41,U0459,S038,39
R000273,2017-01-01,5,22,U0390,S079,17
R000274,2017-01-01,5,2,U0798,S007,25
R000275,2017-01-01,5,9,U0715,S089,36
R000276,2017-01-01,5,54,U0219,S067,51
R000277,2017-01-01,5,2,U0365,S019,57
R000278,2017-01-01,5,42,U0083,S060,24
R000279,2017-01-01,5,36,U0190,S083,25
R000280,2017-01-01,5,53,U0759,S058,24
R000281,2017-01-01,5,38,U0837,S012,26
R000282,2017-01-01,5,19,U0785,S093,60
R000283,2017-01-01,5,21,U0530,S065,18
R000284,2017-01-01,5,58,U0917,S015,41
R000285,2017-01-01,5,5,U0503,S024,34
R000286,2017-01-01,5,3,U0292,S100,34
R000287,2017-01-01,5,6,U0473,S075,43
R000288,2017-01-01,5,26,U0711,S090,33
R000289,2017-01-01,5,11,U0832,S070,55
R000290,2017-01-01,5,10,U0047,S018,26
R000291,2017-01-01,5,43,U0646,S051,22
R000292,2017-01-01,5,18,U0514,S053,23
R000293,2017-01-01,5,39,U0440,S042,27
R000294,2017-01-01,5,42,U0660,S058,15
R000295,2017-01-01,5,44,U0851,S004,54
R000296,2017-01-01,5,44,U0944,S023,31
R000297,2017-01-01,5,38,U0579,S059,15
R000298,2017-01-01,5,36,U0071,S076,44
R000299,2017-01-01,5,50,U0599,S092,46
R000300,2017-01-01,5,35,U0100,S026,46
R000301,2017-01-01,5,11,U0497,S059,49
R000302,2017-01-01,5,29,U0502,S012,15
R000303,2017-01-01,5,47,U0882,S033,53
R000304,2017-01-01,5,37,U0075,S042,46
R000305,2017-01-01,5,23,U0930,S089,30
R000306,2017-01-01,5,59,U0264,S084,28
R000307,2017-01-01,5,2,U0907,S092,52
R000308,2017-01-01,5,5,U0592,S021,57
R000309,2017-01-01,5,49,U0681,S092,45
R000310,2017-01-01,5,19,U0845,S094,44
R000311,2017-01-01,5,20,U0046,S016,41
R000312,2017-01-01,5,23,U0621,S012,43
R000313,2017-01-01,5,57,U0437,S015,20
R000314,2017-01-01,5,24,U0906,S091,53
R000315,2017-01-01,5,52,U0868,S058,53
R000316,2017-01-01,5,4,U0682,S082,15
R000317,2017-01-01,5,48,U0060,S047,30
R000318,2017-01-01,5,27,U0211,S011,50
R000319,2017-01-01,5,53,U0486,S068,32
R000320,2017-01-01,5,35,U0494,S091,54
R000321,2017-01-01,5,4,U0429,S050,55
R000322,2017-01-01,5,18,U0507,S094,50
R000323,2017-01-01,5,30,U0831,S066,28
R000324,2017-01-01,5,8,U0474,S079,18
R000325,2017-01-01,6,29,U0118,S018,15
R000326,2017-01-01,6,19,U0745,S062,34
R000327,2017-01-01,6,43,U0914,S020,17
R000328,2017-01-01,6,41,U0454,S081,58
R000329,2017-01-01,6,45,U0532,S059,53
R000330,2017-01-01,6,49,U0580,S069,20
R000331,2017-01-01,6,29,U0458,S043,36
R000332,2017-01-01,6,30,U0600,S060,44
R000333,2017-01-01,6,14,U0225,S053,17
R000334,2017-01-01,6,14,U0747,S096,21
R000335,2017-01-01,6,9,U0377,S008,48
R000336,2017-01-01,6,55,U0660,S067,57
R000337,2017-01-01,6,57,U0065,S039,34
R000338,2017-01-01,6,39,U0100,S073,16
R000339,2017-01-01,6,16,U0645,S093,51
R000340,2017-01-01,6,58,U0784,S087,34
R000341,2017-01-01,6,23,U0682,S041,55
R000342,2017-01-01,6,25,U0924,S072,28
R000343,2017-01-01,6,11,U0104,S069,35
R000344,2017-01-01,6,44,U0542,S003,27
R000345,2017-01-01,6,58,U0834,S027,27
R000346,2017-01-01,6,42,U0476,S074,33
R000347,2017-01-01,6,21,U0738,S088,32
R000348,2017-01-01,6,50,U0677,S043,49
R000349,2017-01-01,6,55,U0519,S046,35
R000350,2017-01-01,6,56,U0282,S009,43
R000351,2017-01-01,6,20,U0600,S020,57
R000352,2017-01-01,6,29,U0633,S036,22
R000353,2017-01-01,6,31,U0674,S004,32
R000354,2017-01-01,6,1,U0401,S044,24
R000355,2017-01-01,6,4,U0231,S049,25
R000356,2017-01-01,6,30,U0854,S081,32
R000357,2017-01-01,6,7,U0573,S069,22
R000358,2017-01-01,6,22,U0784,S022,15
R000359,2017-01-01,6,30,U0684,S074,54
R000360,2017-01-01,6,29,U0551,S078,50
R000361,2017-01-01,6,54,U0548,S050,47
R000362,2017-01-01,6,10,U0903,S024,21
R000363,2017-01-01,6,18,U0195,S077,28
R000364,2017-01-01,6,49,U0400,S015,49
R000365,2017-01-01,6,22,U0758,S097,37
R000366,2017-01-01,6,38,U0336,S040,50
R000367,2017-01-01,6,36,U0332,S091,35
R000368,2017-01-01,6,8,U0001,S041,32
R000369,2017-01-01,6,32,U0139,S091,24
R000370,2017-01-01,6,6,U0022,S005,60
R000371,2017-01-01,6,25,U0517,S035,33
R000372,2017-01-01,6,52,U0204,S053,51
R000373,2017-01-01,6,45,U0792,S012,30
R000374,2017-01-01,6,50,U0908,S064,25
R000375,2017-01-01,6,6,U0368,S031,19
R000376,2017-01-01,6,20,U0721,S048,34
R000377,2017-01-01,6,35,U0720,S058,54
R000378,2017-01-01,6,41,U0049,S039,36
R000379,2017-01-01,6,4,U0351,S028,49
R000380,2017-01-01,6,50,U0569,S068,43
R000381,2017-01-01,6,19,U0997,S039,18
R000382,2017-01-01,6,34,U0903,S023,23
R000383,2017-01-01,6,29,U0719,S015,16
R000384,2017-01-01,6,25,U0226,S048,45
R000385,2017-01-01,6,37,U0013,S005,58
R000386,2017-01-01,6,26,U0691,S100,18
R000387,2017-01-01,6,15,U0219,S026,21
R000388,2017-01-01,6,39,U0785,S012,39
R000389,2017-01-01,6,15,U0303,S057,18
R000390,2017-01-01,6,35,U0432,S065,20
R000391,2017-01-01,6,10,U0846,S004,42
R000392,2017-01-01,6,30,U0116,S062,40
R000393,2017-01-01,6,24,U0509,S065,26
R000394,2017-01-01,6,4,U0321,S020,60
R000395,2017-01-01,6,21,U0562,S025,53
R000396,2017-01-01,6,13,U0607,S044,52
R000397,2017-01-01,6,52,U0525,S062,55
R000398,2017-01-01,6,44,U0825,S094,59
R000399,2017-01-01,6,37,U0014,S068,59
R000400,2017-01-01,6,27,U0199,S040,43
R000401,2017-01-01,6,50,U0740,S100,54
R000402,2017-01-01,6,27,U0535,S042,37
R000403,2017-01-01,6,36,U0360,S019,34
R000404,2017-01-01,6,50,U0441,S099,36
R000405,2017-01-01,6,21,U0781,S013,27
R000406,2017-01-01,6,34,U0054,S067,60
R000407,2017-01-01,6,44,U0890,S087,57
R000408,2017-01-01,6,15,U0293,S017,49
R000409,2017-01-01,6,11,U0332,S027,20
R000410,2017-01-01,6,42,U0350,S093,44
R000411,2017-01-01,6,42,U0541,S005,51
R000412,2017-01-01,6,4,U0765,S059,23
R000413,2017-01-01,6,47,U0538,S050,20
R000414,2017-01-01,6,59,U0557,S092,59
R000415,2017-01-01,6,45,U0070,S067,44
R000416,2017-01-01,6,36,U0694,S015,21
R000417,2017-01-01,7,43,U0947,S089,12
R000418,2017-01-01,7,45,U0544,S099,30
R000419,2017-01-01,7,24,U0136,S040,27
R000420,2017-01-01,7,30,U0668,S089,28
R000421,2017-01-01,7,16,U0797,S052,19
R000422,2017-01-01,7,9,U0530,S020,29
R000423,2017-01-01,7,33,U0610,S035,11
R000424,2017-01-01,7,55,U0166,S094,20
R000425,2017-01-01,7,27,U0878,S079,27
R000426,2017-01-01,7,0,U0767,S020,10
R000427,2017-01-01,7,18,U0190,S020,25
R000428,2017-01-01,7,59,U0328,S005,24
R000429,2017-01-01,7,51,U0455,S007,26
R000430,2017-01-01,7,28,U0117,S078,25
R000431,2017-01-01,7,24,U0650,S005,28
R000432,2017-01-01,7,43,U0100,S020,20
R000433,2017-01-01,7,20,U0776,S084,23
R000434,2017-01-01,7,33,U0871,S096,21
R000435,2017-01-01,7,43,U0648,S057,19
R000436,2017-01-01,7,2,U0646,S079,19
R000437,2017-01-01,7,6,U0531,S052,15
R000438,2017-01-01,7,58,U0587,S020,11
R000439,2017-01-01,7,34,U0108,S007,29
R000440,2017-01-01,7,40,U0080,S020,19
R000441,2017-01-01,7,22,U0386,S078,28
R000442,2017-01-01,7,54,U0246,S088,18
R000443,2017-01-01,7,27,U0942,S052,11
R000444,2017-01-01,7,39,U0002,S094,30
R000445,2017-01-01,7,58,U0817,S053,25
R000446,2017-01-01,7,41,U0163,S096,28
R000447,2017-01-01,7,54,U0257,S088,15
R000448,2017-01-01,7,17,U0497,S080,28
R000449,2017-01-01,7,21,U0584,S077,11
R000450,2017-01-01,7,17,U0311,S099,19
R000451,2017-01-01,7,17,U0676,S052,29
R000452,2017-01-01,7,51,U0663,S077,10
R000453,2017-01-01,7,6,U0651,S022,19
R000454,2017-01-01,7,16,U0768,S053,25
R000455,2017-01-01,7,41,U0337,S060,12
R000456,2017-01-01,7,37,U0223,S052,14
R000457,2017-01-01,7,25,U0735,S069,26
R000458,2017-01-01,7,29,U0998,S089,12
R000459,2017-01-01,7,49,U0341,S053,18
R000460,2017-01-01,7,43,U0321,S045,18
R000461,2017-01-01,7,47,U0507,S040,14
R000462,2017-01-01,7,15,U0970,S032,29
R000463,2017-01-01,7,46,U0992,S022,18
R000464,2017-01-01,7,43,U0987,S052,18
R000465,2017-01-01,7,37,U0752,S077,18
R000466,2017-01-01,7,49,U0774,S005,10
R000467,2017-01-01,7,12,U0555,S070,13
R000468,2017-01-01,7,33,U0106,S057,29
R000469,2017-01-01,7,21,U0665,S094,15
R000470,2017-01-01,7,43,U0017,S084,28
R000471,2017-01-01,7,44,U0660,S032,14
R000472,2017-01-01,7,11,U0566,S080,24
R000473,2017-01-01,7,20,U0455,S060,21
R000474,2017-01-01,7,35,U0958,S034,15
R000475,2017-01-01,7,0,U0229,S052,18
R000476,2017-01-01,7,43,U0910,S099,17
R000477,2017-01-01,7,0,U0489,S069,25
R000478,2017-01-01,7,53,U0079,S070,15
R000479,2017-01-01,7,4,U0398,S040,26
R000480,2017-01-01,7,0,U0956,S006,11
R000481,2017-01-01,7,26,U0607,S006,20
R000482,2017-01-01,7,6,U0062,S070,12
R000483,2017-01-01,7,33,U0001,S057,14
R000484,2017-01-01,7,6,U0810,S080,29
R000485,2017-01-01,7,43,U0618,S040,14
R000486,2017-01-01,7,28,U0878,S019,25
R000487,2017-01-01,7,22,U0578,S070,23
R000488,2017-01-01,7,14,U0197,S057,22
R000489,2017-01-01,7,46,U0470,S080,17
R000490,2017-01-01,7,18,U0056,S007,24
R000491,2017-01-01,7,16,U0254,S020,30
R000492,2017-01-01,7,12,U0482,S084,15
R000493,2017-01-01,7,2,U0680,S084,16
R000494,2017-01-01,7,1,U0675,S060,28
R000495,2017-01-01,7,39,U0341,S094,21
R000496,2017-01-01,7,5,U0819,S086,11
R000497,2017-01-01,7,3,U0415,S086,30
R000498,2017-01-01,7,38,U0449,S034,18
R000499,2017-01-01,7,42,U0649,S053,13
R000500,2017-01-01,7,57,U0483,S060,11
R000501,2017-01-01,7,53,U0602,S007,15
R000502,2017-01-01,7,13,U0379,S060,24
R000503,2017-01-01,7,38,U0751,S096,22
R000504,2017-01-01,7,40,U0188,S077,25
R000505,2017-01-01,7,7,U0557,S007,19
R000506,2017-01-01,7,45,U0246,S032,25
R000507,2017-01-01,7,7,U0322,S057,27
R000508,2017-01-01,7,5,U0610,S078,17
R000509,2017-01-01,7,54,U0654,S084,22
R000510,2017-01-01,8,44,U0655,S086,27
R000511,2017-01-01,8,21,U0231,S007,23
R000512,2017-01-01,8,57,U0631,S034,16
R000513,2017-01-01,8,25,U0314,S086,29
R000514,2017-01-01,8,36,U0101,S006,30
R000515,2017-01-01,8,0,U0314,S045,13
R000516,2017-01-01,8,32,U0428,S045,24
R000517,2017-01-01,8,45,U0316,S036,18
R000518,2017-01-01,8,49,U0801,S006,13
R000519,2017-01-01,8,31,U0709,S034,11
R000520,2017-01-01,8,30,U0122,S089,12
R000521,2017-01-01,8,27,U0719,S034,12
R000522,2017-01-01,8,25,U0778,S022,28
R000523,2017-01-01,8,54,U0974,S053,18
R000524,2017-01-01,8,46,U0319,S007,24
R000525,2017-01-01,8,49,U0827,S057,10
R000526,2017-01-01,8,51,U0473,S099,25
R000527,2017-01-01,8,50,U0744,S026,14
R000528,2017-01-01,8,4,U0957,S077,30
R000529,2017-01-01,8,34,U0713,S045,30
R000530,2017-01-01,8,14,U0828,S022,10
R000531,2017-01-01,8,0,U0828,S078,11
R000532,2017-01-01,8,24,U0525,S057,22
R000533,2017-01-01,8,44,U0300,S019,18
R000534,2017-01-01,8,52,U0272,S020,14
R000535,2017-01-01,9,4,U0815,S080,11
R000536,2017-01-01,9,52,U0143,S040,22
R000537,2017-01-01,9,52,U0625,S057,13
R000538,2017-01-01,9,6,U0944,S007,16
R000539,2017-01-01,9,7,U0408,S096,30
R000540,2017-01-01,9,31,U0373,S078,26
R000541,2017-01-01,9,38,U0737,S053,24
R000542,2017-01-01,9,51,U0507,S084,27
R000543,2017-01-01,9,39,U0450,S026,14
R000544,2017-01-01,9,14,U0064,S020,28
R000545,2017-01-01,9,4,U0155,S006,17
R000546,2017-01-01,9,51,U0615,S026,12
R000547,2017-01-01,9,12,U0585,S005,11
R000548,2017-01-01,9,27,U0961,S084,14
R000549,2017-01-01,9,21,U0550,S070,25
R000550,2017-01-01,9,51,U0098,S032,30
R000551,2017-01-01,9,53,U0953,S057,10
R000552,2017-01-01,9,47,U0520,S045,25
R000553,2017-01-01,9,43,U0479,S007,29
R000554,2017-01-01,9,25,U0696,S088,11
R000555,2017-01-01,9,20,U0359,S069,17
R000556,2017-01-01,9,7,U0297,S078,30
R000557,2017-01-01,9,43,U0609,S035,14
R000558,2017-01-01,9,36,U0046,S057,10
R000559,2017-01-01,9,34,U0416,S069,15
R000560,2017-01-01,9,8,U0709,S089,30
R000561,2017-01-01,9,20,U0211,S088,11
R000562,2017-01-01,9,53,U0500,S053,19
R000563,2017-01-01,9,50,U0747,S005,13
R000564,2017-01-01,9,13,U0676,S006,24
R000565,2017-01-01,9,48,U0951,S036,29
R000566,2017-01-01,9,2,U0130,S006,15
R000567,2017-01-01,9,37,U0682,S036,28
R000568,2017-01-01,10,30,U0188,S013,112
R000569,2017-01-01,10,37,U0353,S018,76
R000570,2017-01-01,10,31,U0058,S014,66
R000571,2017-01-01,10,3,U0142,S033,56
R000572,2017-01-01,10,56,U0319,S091,85
R000573,2017-01-01,10,27,U0159,S072,62
R000574,2017-01-01,10,9,U0817,S066,72
R000575,2017-01-01,10,13,U0462,S024,108
R000576,2017-01-01,10,59,U0279,S016,88
R000577,2017-01-01,10,39,U0747,S003,35
R000578,2017-01-01,10,29,U0398,S016,43
R000579,2017-01-01,10,11,U0609,S082,36
R000580,2017-01-01,10,24,U0178,S009,98
